timestamp,gps_time,gps_time_valid,utc_time,utc_time_valid,model_and_serial_number,raw_host_timestamp,latitude,longitude,height_above_ellipsoid,utm_northing,utm_easting,utm_down,utm_zone,height_above_msl,horizontal_accuracy,vertical_accuracy,lat_and_long_valid,ellipsoid_height_valid,msl_height_valid,horizontal_accuracy_valid,vertical_accuracy_valid,velocity_north,velocity_east,velocity_down,velocity_speed,velocity_ground_speed,velocity_heading,velocity_speed_accuracy,velocity_heading_accuracy,velocity_ned_velocity_valid,velocity_speed_valid,velocity_ground_speed_valid,velocity_heading_valid,velocity_speed_accuracy_valid,velocity_heading_accuracy_valid
1637841694640285,1321876653499913,True,1637841435499000,True,3DM-RQ1-45-ST-6239-38440,1637841694640285,56.9723341,-4.4274822,329.497,6315212.678739178,413222.78848903417,-329.497,30V,278.502,8.305999755859375,9.526000022888184,True,True,True,True,True,-0.4399999976158142,-0.08999999612569809,-0.29999998211860657,0.5399999618530273,0.44999998807907104,45.775787353515625,0.9300000071525574,46.58274841308594,True,True,True,True,True,True
1637841694888349,1321876653749913,True,1637841435749000,True,3DM-RQ1-45-ST-6239-38440,1637841694891274,56.9723353,-4.4274835,329.788,6315212.813951128,413222.7122585895,-329.788,30V,278.79200000000003,8.309000015258789,9.524999618530273,True,True,True,True,True,-0.6100000143051147,-0.14999999105930328,-0.38999998569488525,0.7400000095367432,0.6299999952316284,45.775787353515625,0.949999988079071,46.605648040771484,True,True,True,True,True,True
1637841695142249,1321876653999914,True,1637841436000000,True,3DM-RQ1-45-ST-6239-38440,1637841695142249,56.972335199999996,-4.4274843,329.907,6315212.803837019,413222.6633978146,-329.907,30V,278.912,8.307999610900879,9.52299976348877,True,True,True,True,True,-0.8899999856948853,-0.22999998927116394,-0.4599999785423279,1.0299999713897705,0.9199999570846558,45.775787353515625,0.9799999594688416,46.63053894042969,True,True,True,True,True,True
1637841695393230,1321876654249914,True,1637841436249000,True,3DM-RQ1-45-ST-6239-38440,1637841695395882,56.9723353,-4.4274844,329.97,6315212.815094098,413222.6575518224,-329.97,30V,278.975,8.312999725341797,9.524999618530273,True,True,True,True,True,-0.9300000071525574,-0.17000000178813934,-0.47999998927116394,1.059999942779541,0.9399999976158142,45.775787353515625,1.0099999904632568,46.65607833862305,True,True,True,True,True,True
1637841695642491,1321876654499915,True,1637841436499000,True,3DM-RQ1-45-ST-6239-38440,1637841695642491,56.9723365,-4.4274841,330.079,6315212.948274105,413222.6785778571,-330.079,30V,279.084,8.3100004196167,9.520999908447266,True,True,True,True,True,-0.7099999785423279,-0.03999999910593033,-0.4899999797344208,0.8700000047683716,0.7199999690055847,45.775787353515625,0.9699999690055847,46.679500579833984,True,True,True,True,True,True
1637841695890073,1321876654749915,True,1637841436749000,True,3DM-RQ1-45-ST-6239-38440,1637841695890073,56.972336299999995,-4.427484199999999,330.195,6315212.926140936,413222.6720342521,-330.195,30V,279.2,8.312000274658203,9.517999649047852,True,True,True,True,True,-0.6599999666213989,-0.04999999701976776,-0.4899999797344208,0.8299999833106995,0.6599999666213989,45.775787353515625,0.9599999785423279,46.70256805419922,True,True,True,True,True,True
1637841696140032,1321876654999916,True,1637841437000000,True,3DM-RQ1-45-ST-6239-38440,1637841696147537,56.9723389,-4.4274853,330.456,6315213.216920058,413222.6112163978,-330.456,30V,279.461,8.3100004196167,9.519000053405762,True,True,True,True,True,-0.4399999976158142,-0.09999999403953552,-0.5299999713897705,0.6899999976158142,0.44999998807907104,45.775787353515625,0.8199999928474426,46.72222900390625,True,True,True,True,True,True
1637841696389989,1321876655249916,True,1637841437249000,True,3DM-RQ1-45-ST-6239-38440,1637841696391253,56.9723396,-4.4274833,330.177,6315213.292290705,413222.7344147377,-330.177,30V,279.182,8.305000305175781,9.51200008392334,True,True,True,True,True,-0.3100000023841858,0.04999999701976776,-0.47999998927116394,0.5699999928474426,0.3199999928474426,45.775787353515625,0.7699999809265137,46.74076843261719,True,True,True,True,True,True
1637841696639947,1321876655499917,True,1637841437499000,True,3DM-RQ1-45-ST-6239-38440,1637841696642099,56.972339899999994,-4.427482299999999,330.039,6315213.324410987,413222.7958976375,-330.039,30V,279.044,8.303999900817871,9.506999969482422,True,True,True,True,True,-0.23999999463558197,0.07000000029802322,-0.4399999976158142,0.5099999904632568,0.25,45.775787353515625,0.7299999594688416,46.75825881958008,True,True,True,True,True,True
1637841696889904,1321876655749917,True,1637841437749000,True,3DM-RQ1-45-ST-6239-38440,1637841696892000,56.9723401,-4.4274819,329.974,6315213.346163169,413222.82067682693,-329.974,30V,278.979,8.307000160217285,9.512999534606934,True,True,True,True,True,-0.1599999964237213,0.03999999910593033,-0.4099999964237213,0.4399999976158142,0.1599999964237213,45.775787353515625,0.6599999666213989,46.7740478515625,True,True,True,True,True,True
1637841697139862,1321876655999918,True,1637841438000000,True,3DM-RQ1-45-ST-6239-38440,1637841697141014,56.972341199999995,-4.4274828,330.194,6315213.469737051,413222.7685279727,-330.194,30V,279.199,8.317999839782715,9.524999618530273,True,True,True,True,True,-0.029999999329447746,-0.019999999552965164,-0.429999977350235,0.429999977350235,0.03999999910593033,45.775787353515625,0.5600000023841858,46.78759765625,True,True,True,True,True,True
